accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR108TCK,ChromBPNet-model,"Anshul Kundaje, Stanford",released,2026-06-06,GRCh38,,ChromBPNet models trained on DNase-seq data in GM12878 (ENCSR000EMT)
ENCSR081YFO,ChromBPNet-model,"Anshul Kundaje, Stanford",released,2026-06-06,GRCh38,,ChromBPNet models trained on ATAC-seq data in GM12878 (ENCSR637XSC)
ENCSR854PQL,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on EP300 ChIP-seq data in GM12878 (ENCSR000BHB)(status:unvalidated)(no known direct/potential direct motif; low model performance (counts_pearson<0.5))
ENCSR268UNG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on ZSCAN29 ChIP-seq data in GM12878 (ENCSR412YGM)(status:passed)(found direct motif (counts, profile))"
ENCSR997TVR,element gene regulatory interaction predictions,"Jesse Engreitz, Stanford",released,2025-04-24,GRCh38,,ENCODE-rE2G (extended) predictions for GM12878; Donor: ENCDO000AAK
ENCSR614LCR,gkm-SVM-model,"Michael Beer, JHU",released,2025-05-17,,,ATAC_182_hg38: gkm-SVM enhancer and promoter models for ATAC-seq in GM12878 (human)
ENCSR223QZI,gkm-SVM-model,"Michael Beer, JHU",released,2025-05-17,,,ATAC_16_hg38: gkm-SVM enhancer and promoter models for ATAC-seq in GM12878 (human)
ENCSR324QIB,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on NKRF ChIP-seq data in GM12878 (ENCSR732PJX)(status:unvalidated)(no known direct/potential direct motif)
ENCSR272SPY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on ZBTB33 ChIP-seq data in GM12878 (ENCSR542FLV)(status:unvalidated)(not found direct motif (znf))
ENCSR759DXD,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ZEB1 ChIP-seq data in GM12878 (ENCSR000BND)(status:passed)(found direct motif (counts, profile))"
ENCSR278BSA,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on SKIL ChIP-seq data in GM12878 (ENCSR212YKD)(status:unvalidated)(no known direct/potential direct motif)
ENCSR696HRR,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ZNF24 ChIP-seq data in GM12878 (ENCSR072PWP)(status:passed)(found direct motif (counts, profile))"
ENCSR760SDZ,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR361MOG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on ZBTB4 ChIP-seq data in GM12878 (ENCSR691IQB)(status:unvalidated)(found potential direct motif (counts, profile); low model performance (counts_pearson<0.5))"
ENCSR097PUR,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on ARID3A ChIP-seq data in GM12878 (ENCSR778UBR)(status:unvalidated)(no known direct/potential direct motif)
ENCSR566GAW,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on RCOR1 ChIP-seq data in GM12878 (ENCSR000DZC)(status:unvalidated)(no known direct/potential direct motif)
ENCSR762CIK,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on EP300 ChIP-seq data in GM12878 (ENCSR000DZD)(status:unvalidated)(no known direct/potential direct motif)
ENCSR607ZHJ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ZNF384 ChIP-seq data in GM12878 (ENCSR000DYP)(status:passed)(found direct motif (counts, profile))"
ENCSR996JFB,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ZBTB33 ChIP-seq data in GM12878 (ENCSR000BHC)(status:passed)(found direct motif (counts, profile))"
ENCSR364XJS,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
