accession,assay_title,assay_term_name,target.label,lab.title,status,date_released,assembly,award.rfa,biosample_ontology.term_id,replicates.library.biosample.treatments.treatment_term_name,description
ENCSR839BHJ,polyA plus RNA-seq,polyA plus RNA-seq,,"Erez Aiden, Baylor",released,2025-09-22,,ENCODE4,EFO:0002784,,GM12878 RNA Seq
ENCSR016TMB,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-30,GRCh38,ENCODE4,EFO:0002784,,"""GM12878 intact hi-c dnase ultima crosslinking trials 10min FA, followed by DSG 30min"""
ENCSR581CCT,DNase-seq,DNase-seq,,"John Stamatoyannopoulos, UW",released,2025-09-19,GRCh38,ENCODE4,EFO:0002784,,
ENCSR507IEF,DNase-seq,DNase-seq,,"John Stamatoyannopoulos, UW",released,2025-09-20,GRCh38,ENCODE4,EFO:0002784,,
ENCSR910MAP,DNase-seq,DNase-seq,,"John Stamatoyannopoulos, UW",released,2025-10-13,GRCh38,ENCODE4,EFO:0002784,,
ENCSR978JTT,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-30,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 28"
ENCSR679JCT,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-30,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 27"
ENCSR679YNF,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-30,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 26"
ENCSR052PIZ,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 23"
ENCSR228WEF,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 22"
ENCSR676XGF,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 21"
ENCSR242QRN,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 20"
ENCSR650VXO,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 19"
ENCSR777EJY,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicates 16, 17, 18, 24, and 25"
ENCSR949NFX,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,GM12878 intact hi-c quadRE illumina
ENCSR681CTQ,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 14"
ENCSR766QFA,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 13"
ENCSR232HRQ,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 12"
ENCSR616RFU,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-30,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 11"
ENCSR422FME,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 10"
ENCSR586HVN,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 9"
ENCSR822UMS,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 8"
ENCSR099MHJ,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 7"
ENCSR091EQY,intact Hi-C,HiC,,"Erez Aiden, Baylor",released,2025-09-22,GRCh38,ENCODE4,EFO:0002784,,"GM12878 intact hi-c mnase illumina, replicate 6"
