portal,type,facet,term,count
encode,Experiment,assay_title,TF ChIP-seq,213
encode,Experiment,assay_title,intact Hi-C,68
encode,Experiment,assay_title,Control ChIP-seq,33
encode,Experiment,assay_title,Histone ChIP-seq,15
encode,Experiment,assay_title,polyA plus RNA-seq,15
encode,Experiment,assay_title,RIP-seq,14
encode,Experiment,assay_title,scRNA-seq,13
encode,Experiment,assay_title,RIP-chip,11
encode,Experiment,assay_title,RNA microarray,8
encode,Experiment,assay_title,ChIA-PET,7
encode,Experiment,assay_title,CAGE,6
encode,Experiment,assay_title,DNase-seq,6
encode,Experiment,assay_title,Repli-seq,6
encode,Experiment,assay_title,in situ Hi-C,6
encode,Experiment,assay_title,small RNA-seq,6
encode,Experiment,assay_title,total RNA-seq,6
encode,Experiment,assay_title,MS-MS,5
encode,Experiment,assay_title,long read RNA-seq,4
encode,Experiment,assay_title,microRNA-seq,4
encode,Experiment,assay_title,DNA-PET,3
encode,Experiment,assay_title,DNAme array,3
encode,Experiment,assay_title,polyA minus RNA-seq,3
encode,Experiment,assay_title,snATAC-seq,3
encode,Experiment,assay_title,5C,2
encode,Experiment,assay_title,ATAC-seq,2
encode,Experiment,assay_title,Bru-seq,2
encode,Experiment,assay_title,BruChase-seq,2
encode,Experiment,assay_title,GRO-cap,2
encode,Experiment,assay_title,MRE-seq,2
encode,Experiment,assay_title,RNA-PET,2
encode,Experiment,assay_title,RRBS,2
encode,Experiment,assay_title,WGBS,2
encode,Experiment,assay_title,dilution Hi-C,2
encode,Experiment,assay_title,genotyping array,2
encode,Experiment,assay_title,icSHAPE,2
encode,Experiment,assay_title,BruUV-seq,1
encode,Experiment,assay_title,FAIRE-seq,1
encode,Experiment,assay_title,Hi-C,1
encode,Experiment,assay_title,MNase-seq,1
encode,Experiment,assay_title,MeDIP-seq,1
encode,Experiment,assay_title,PAS-seq,1
encode,Experiment,assay_title,RAMPAGE,1
encode,Experiment,assay_title,microRNA counts,1
encode,Experiment,status,released,437
encode,Experiment,status,archived,29
encode,Experiment,status,revoked,24
encode,Experiment,target.label,CTCF,7
encode,Experiment,target.label,POLR2A,5
encode,Experiment,target.label,RAD21,5
encode,Experiment,target.label,EP300,4
