accession,@type,preferred_assay_titles,assay_titles,file_set_type,lab.title,status,release_timestamp,summary,content_type,file_format,assembly,file_size,file_set.@id,classifications,sample_terms.term_id,samples.sample_terms.term_id
IGVFFI0084OGIQ,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:38.898078+00:00,R2 reads from sequencing run 1,reads,fastq,,75588004082,/construct-library-sets/IGVFDS2955VGJT/,,,
IGVFFI1852EEZE,ReferenceFile,,,,"ENCODE Project, NHGRI",released,2023-12-07T05:50:45.393925+00:00,GRCh38 element to gene interactions,element to gene interactions,bed,GRCh38,4199530,/curated-sets/IGVFDS5684XDTB/,,,
IGVFFI7041XCOY,ReferenceFile,,,,"ENCODE Project, NHGRI",released,2025-09-22T22:17:43.877785+00:00,GRCh38 element to gene interactions,element to gene interactions,bed,GRCh38,3708698,/curated-sets/IGVFDS6949GFBF/,,,
IGVFFI0673LAVH,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:54.132773+00:00,reads from sequencing run 1,reads,fastq,,3088515402,/measurement-sets/IGVFDS2616NTKE/,,,
IGVFFI4568LUNE,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:48.109006+00:00,reads from sequencing run 1,reads,fastq,,3845251909,/measurement-sets/IGVFDS7446JCCY/,,,
IGVFFI2809MJXJ,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:39.001103+00:00,R1 reads from sequencing run 1,reads,fastq,,53555999853,/construct-library-sets/IGVFDS2955VGJT/,,,
IGVFFI4806DTNJ,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:50.281123+00:00,reads from sequencing run 1,reads,fastq,,3344375674,/measurement-sets/IGVFDS5083RSLD/,,,
IGVFFI9918DKXT,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:51.404634+00:00,reads from sequencing run 1,reads,fastq,,2795681830,/measurement-sets/IGVFDS6230NHQE/,,,
IGVFFI7434QTLS,TabularFile,,,,"Kushal Dey, MSKCC",released,2025-07-17T18:00:17.552672+00:00,GRCh38 predictive variant functions (cV2F v1.0.0),variant functions,tsv,GRCh38,193365172,/prediction-sets/IGVFDS5377ANDH/,,,
IGVFFI2363PFZG,SequenceFile,MPRA,massively parallel reporter assay,,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:44.762581+00:00,reads from sequencing run 1,reads,fastq,,3135515227,/measurement-sets/IGVFDS6431ZPLN/,,,
