term,count
"Erez Aiden, Baylor",97
"John Stamatoyannopoulos, UW",56
"Michael Snyder, Stanford",56
"Ryan Tewhey, JAX",44
"Thomas Gingeras, CSHL",25
"Barbara Wold, Caltech",20
"Mats Ljungman, UMichigan",17
"Ali Mortazavi, UCI",16
"Richard Myers, HAIB",14
"Bradley Bernstein, Broad",13
"Jesse Engreitz, Stanford",12
"Yijun Ruan, JAX",11
"Morgan Giddings, UNC",9
"Piero Carninci, RIKEN",9
"Peggy Farnham, USC",8
"Rob Spitale, UCI",4
Charles Lee,2
"Vishwanath Iyer, UTA",2
"Gregory Crawford, Duke",1
"Job Dekker, UMass",1
"John Lis, Cornell",1
"Scott Tenenbaum, SUNY-Albany",1
Unknown Lab,1
"Will Greenleaf, Stanford",1
