term,count
2025-09-22,59
2011-07-18,38
2011-10-29,37
2014-07-07,32
2014-06-30,20
2011-02-10,13
2012-05-14,13
2012-02-29,11
2025-09-30,11
2016-05-04,10
2011-10-17,9
2011-04-28,7
2012-08-20,7
2017-05-17,7
2012-02-14,6
2016-11-23,6
2009-07-06,5
2011-03-17,5
2016-06-13,5
2017-06-07,5
2018-01-26,5
2018-10-29,5
2021-01-14,5
2011-02-11,4
2011-02-14,4
2011-08-29,4
2011-09-30,4
2011-12-22,4
2016-01-08,4
2016-08-24,4
2016-09-20,4
2017-06-26,4
2020-08-03,4
2022-01-20,4
2011-01-12,3
2012-02-22,3
2012-09-10,3
2016-11-24,3
2017-01-31,3
2017-02-21,3
2022-03-16,3
2011-02-08,2
2011-03-21,2
2011-03-23,2
2012-07-09,2
2012-09-11,2
2014-05-09,2
2016-02-02,2
2016-06-14,2
2016-07-08,2
2016-07-28,2
2016-10-27,2
2016-11-17,2
2017-01-08,2
2017-04-14,2
2017-11-13,2
2018-02-02,2
2018-10-30,2
2019-05-13,2
2020-08-05,2
2021-01-04,2
2021-09-09,2
2022-05-12,2
2023-12-18,2
2009-10-02,1
2010-11-17,1
2011-04-01,1
2011-04-19,1
2011-05-04,1
2011-06-14,1
2011-07-29,1
2011-08-16,1
2011-09-29,1
2011-10-10,1
2011-11-14,1
2011-12-01,1
2012-01-17,1
2012-03-06,1
2012-03-22,1
2013-03-29,1
2014-07-31,1
2014-09-29,1
2014-11-20,1
2016-01-14,1
2016-02-05,1
2016-02-23,1
2016-03-02,1
2016-03-30,1
2016-04-22,1
2016-06-28,1
2016-08-05,1
2016-10-10,1
2016-10-26,1
2016-11-08,1
2016-11-14,1
2016-11-18,1
2017-01-27,1
2017-06-15,1
2017-06-23,1
2017-07-24,1
2017-08-12,1
2017-11-14,1
2017-11-30,1
2017-12-14,1
2018-01-17,1
2018-02-13,1
2018-09-20,1
2019-06-28,1
2020-03-20,1
2020-06-11,1
2020-09-28,1
2021-02-20,1
2021-12-18,1
2022-03-08,1
2022-03-22,1
2022-06-10,1
2022-07-28,1
2022-11-08,1
2025-09-19,1
2025-09-20,1
2025-10-13,1
