term,count
"Michael Snyder, Stanford",144
"Richard Myers, HAIB",81
"Erez Aiden, Baylor",78
"Bradley Bernstein, Broad",30
"Barbara Wold, Caltech",23
"Thomas Gingeras, CSHL",23
"John Stamatoyannopoulos, UW",18
"Scott Tenenbaum, SUNY-Albany",15
"Ali Mortazavi, UCI",10
"John Rinn, Broad",10
"Yijun Ruan, JAX",10
"Piero Carninci, RIKEN",6
"Sherman Weissman, Yale",6
"Kevin Struhl, HMS",5
"Mats Ljungman, UMichigan",5
"Morgan Giddings, UNC",5
"Vishwanath Iyer, UTA",5
"Peggy Farnham, USC",4
"Brenton Graveley, UConn",2
Charles Lee,2
"Gregory Crawford, Duke",2
"John Lis, Cornell",2
"Rob Spitale, UCI",2
"Jason Lieb, UNC",1
"Job Dekker, UMass",1
