term,count
CTCF,7
POLR2A,5
RAD21,5
EP300,4
BHLHE40,3
CHD1,3
ELAVL1,3
H3K4me3,3
IKZF1,3
PABPC1,3
SRF,3
SUZ12,3
T7,3
ARID3A,2
ATF2,2
BACH1,2
BCLAF1,2
CEBPB,2
CHD4,2
EBF1,2
EGR1,2
ELF1,2
ETV6,2
GABPA,2
H3K27me3,2
H3K36me3,2
IGF2BP1,2
IKZF2,2
IRF3,2
JUND,2
MAX,2
MAZ,2
PAX5,2
RB1,2
RELA,2
REST,2
STAT1,2
TARDBP,2
TCF12,2
TRIM22,2
YY1,2
ZBTB33,2
ZNF143,2
ARNT,1
ASH2L,1
ATF3,1
ATF7,1
BATF,1
BCL11A,1
BCL3,1
BMI1,1
BRCA1,1
CBFB,1
CBX3,1
CBX5,1
CBX8,1
CEBPZ,1
CELF1,1
CHD2,1
CHD7,1
CREB1,1
CREBBP,1
CREM,1
CTBP1,1
CUX1,1
DNMT1,1
DPF2,1
E2F1,1
E2F4,1
E2F8,1
E4F1,1
EED,1
ELK1,1
ESRRA,1
ETS1,1
EZH2,1
FOS,1
FOXK2,1
FOXM1,1
GATAD2B,1
GTF2F1,1
H2AFZ,1
H3K27ac,1
H3K4me1,1
H3K4me2,1
H3K79me2,1
H3K9ac,1
H3K9me3,1
H4K20me1,1
HCFC1,1
HDAC1,1
HDAC2,1
HDAC6,1
HDGF,1
HNRNPH1,1
HSF1,1
IRF4,1
IRF5,1
JUNB,1
KAT2A,1
KDM1A,1
KDM5A,1
KLF5,1
LARP7,1
MAFF,1
MAFK,1
MEF2A,1
MEF2B,1
MEF2C,1
MLLT1,1
MTA2,1
MTA3,1
MXI1,1
MYB,1
MYC,1
Methylcytidine,1
NBN,1
NFATC1,1
NFATC3,1
NFE2,1
NFIC,1
NFXL1,1
NFYA,1
NFYB,1
NKRF,1
NR2C1,1
NR2C2,1
NR2F1,1
NR3C1,1
NRF1,1
PAX8,1
PBX3,1
PKNOX1,1
PML,1
POLR2AphosphoS2,1
POLR2AphosphoS5,1
POLR3G,1
POU2F2,1
PRDM15,1
RAD51,1
RBBP5,1
RCOR1,1
RELB,1
RFX5,1
RNF2,1
RUNX3,1
RXRA,1
SIN3A,1
SIX5,1
SKIL,1
SLBP,1
SMAD1,1
SMAD5,1
SMARCA5,1
SMC1A,1
SMC3,1
SP1,1
SPI1,1
SREBF1,1
SREBF2,1
STAT3,1
STAT5A,1
SUPT20H,1
TAF1,1
TBL1XR1,1
TBP,1
TBX21,1
TCF3,1
TCF7,1
UBTF,1
USF1,1
USF2,1
WHSC1,1
WRNIP1,1
YBX1,1
ZBED1,1
ZBTB11,1
ZBTB17,1
ZBTB4,1
ZBTB40,1
ZEB1,1
ZFP36,1
ZNF207,1
ZNF217,1
ZNF24,1
ZNF274,1
ZNF384,1
ZNF592,1
ZNF622,1
ZNF687,1
ZSCAN29,1
ZZZ3,1
