term,count
ENCODE Processing Pipeline,15051
"Erez Aiden, Baylor",3602
"Anshul Kundaje, Stanford",3329
"Alan Boyle, University of Michigan",2488
"Michael Snyder, Stanford",799
"Richard Myers, HAIB",566
"John Stamatoyannopoulos, UW",489
"Bill Noble, UW",385
"Michael Beer, JHU",384
"Thomas Gingeras, CSHL",304
"Barbara Wold, Caltech",221
"Bradley Bernstein, Broad",221
"Mats Ljungman, UMichigan",214
"Jesse Engreitz, Stanford",140
ENCODE Consortium,139
"Ryan Tewhey, JAX",129
ENCODE Consortium Analysis Working Group,90
"Yijun Ruan, JAX",81
"Brenton Graveley, UConn",60
"Scott Tenenbaum, SUNY-Albany",59
"Ali Mortazavi, UCI",57
Charles Lee,55
"Piero Carninci, RIKEN",55
"Job Dekker, UMass",47
"John Rinn, Broad",40
"Kevin Struhl, HMS",39
"Sherman Weissman, Yale",37
"Vishwanath Iyer, UTA",36
"Will Greenleaf, Stanford",32
"Peggy Farnham, USC",30
"Zhiping Weng, UMass",30
"Rob Spitale, UCI",28
"Manolis Kellis, Broad",22
"Gregory Crawford, Duke",20
"Morgan Giddings, UNC",14
"John Lis, Cornell",12
"Jason Lieb, UNC",9
"Roderic Guigo, CRG",8
"Andrew Z. Fire, Stanford",4
"Christina Leslie, MSKCC",3
"Maxwell Libbrecht, SFU",2
"J. Michael Cherry, Stanford",1
"Ross Hardison, PennState",1
