,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_1,5,43,752,2,17,25
cell_2,32,14,23,7,14,626
cell_3,8,15,1174,1,9,31
cell_4,26,1519,41,56,24,38
cell_5,37,362,38,33,12,30
cell_6,7,19,2084,8,9,17
cell_7,12,663,5,22,7,21
cell_8,39,10,23,49,1886,29
cell_9,9,15,17,78,17,1056
cell_10,29,8,37,13,384,30
cell_11,6,12,564,3,14,16
cell_12,6,3230,28,15,79,8
cell_13,33,13,12,51,21,14
cell_14,16,4,17,4,1239,86
cell_15,12,22,1004,1,12,33
cell_16,7,1492,80,8,45,6
cell_17,11,22,15,20,11,50
cell_18,1795,21,11,6,33,13
cell_19,4,22,68,30,921,12
cell_20,955,33,17,37,20,23
cell_21,13,16,12,6,28,525
cell_22,18,15,12,31,1535,773
cell_23,6,38,29,7,32,1115
cell_24,3,17,2,20,3,1131
cell_25,26,17,3,632,819,6
cell_26,24,39,11,29,274,18
cell_27,20,6,53,8,21,1364
cell_28,40,1196,24,53,33,5
cell_29,330,7,4,11,34,3
cell_30,1885,19,31,92,28,4
cell_31,12,11,1493,61,11,10
cell_32,1307,12,38,10,15,13
cell_33,30,24,23,523,528,17
cell_34,5,6,9,716,18,26
cell_35,58,880,5,7,40,4
cell_36,30,28,10,21,8,22
cell_37,18,12,307,8,24,11
cell_38,7,1024,11,2,9,35
cell_39,14,1337,16,12,21,15
cell_40,5,11,14,42,960,25
cell_41,3,17,741,13,17,12
cell_42,1290,24,3,55,13,28
cell_43,8,13,8,3,382,12
cell_44,10,32,29,1452,24,10
cell_45,12,49,1324,3,44,3
cell_46,8,534,28,5,6,25
cell_47,14,705,26,35,15,37
cell_48,25,12,10,1108,11,36
cell_49,6,36,833,9,23,6
cell_50,17,7,8,10,856,2
cell_51,35,21,13,1980,28,21
cell_52,750,2,23,4,19,1069
cell_53,585,12,39,13,7,24
cell_54,79,14,2099,17,8,22
cell_55,14,14,548,11,22,37
cell_56,28,708,70,28,30,4
cell_57,0,14,643,2,8,5
cell_58,916,13,27,3,35,19
cell_59,4,934,19,43,10,22
cell_60,923,5,356,39,30,3
cell_61,32,13,3,1353,36,16
cell_62,12,28,6,12,29,1775
cell_63,15,2,10,59,20,29
cell_64,17,12,8,1129,7,12
cell_65,18,23,16,11,42,6
cell_66,1,1992,24,63,13,20
cell_67,4,14,16,9,23,6
cell_68,643,2,27,10,47,20
cell_69,39,26,32,5,10,696
cell_70,21,30,3,28,8,673
cell_71,7,24,14,1697,29,16
cell_72,19,1203,25,16,33,13
cell_73,50,798,7,9,30,34
cell_74,12,18,13,3,708,79
cell_75,9,1194,21,10,12,6
cell_76,5,70,1782,28,8,43
cell_77,20,756,12,15,9,15
cell_78,23,33,32,733,18,18
cell_79,36,23,38,0,18,902
cell_80,29,17,19,1346,25,36
cell_81,19,28,4,9,37,790
cell_82,21,61,31,1246,51,19
cell_83,16,7,19,909,52,13
cell_84,26,444,13,19,13,15
cell_85,50,29,23,1342,7,18
cell_86,13,13,984,4,21,0
cell_87,23,23,16,48,45,1144
cell_88,894,74,28,43,50,1
cell_89,46,502,23,8,7,12
cell_90,13,6,18,756,14,2
cell_91,13,42,61,9,14,1035
cell_92,0,40,17,695,9,7
cell_93,19,4,5,9,22,372
cell_94,24,1,7,9,45,29
cell_95,19,337,30,18,30,11
cell_96,15,47,1346,12,13,1
cell_97,37,23,1796,38,8,47
cell_98,29,1172,5,4,37,3
cell_99,14,12,29,25,15,1848
cell_100,864,23,32,22,39,24
cell_101,967,17,48,36,27,1756
cell_102,20,32,42,53,1063,14
cell_103,21,19,23,3,11,894
cell_104,16,14,33,11,6,752
cell_105,1365,10,22,15,16,51
cell_106,23,38,4,13,16,33
cell_107,34,40,28,23,80,826
cell_108,21,1008,32,45,51,24
cell_109,24,5,4,6,44,1278
cell_110,5,786,28,26,9,52
cell_111,45,6,926,8,8,15
cell_112,6,2,22,2,805,1207
cell_113,9,15,13,32,397,38
cell_114,56,1110,21,29,22,43
cell_115,830,29,5,4,10,31
cell_116,7,12,8,6,501,26
cell_117,61,36,8,454,35,12
cell_118,1,38,14,7,1164,24
cell_119,12,14,398,11,58,43
cell_120,1040,35,52,19,27,5
cell_121,53,22,19,19,497,12
cell_122,1185,5,7,13,7,5
cell_123,13,902,1130,11,10,17
cell_124,7,15,11,41,1023,4
cell_125,987,6,12,5,25,47
cell_126,1521,10,2,701,32,12
cell_127,757,857,36,14,16,11
cell_128,21,18,26,9,635,9
cell_129,8,23,7,28,35,32
cell_130,17,698,66,7,65,51
cell_131,4,2,10,36,17,417
cell_132,2607,16,8,39,66,7
cell_133,22,28,20,2062,15,34
cell_134,47,6,4,16,19,44
cell_135,1418,28,18,9,11,6
cell_136,578,9,11,11,85,12
cell_137,36,34,814,14,48,5
cell_138,16,10,14,72,1306,12
cell_139,58,11,908,5,12,23
cell_140,22,932,15,37,2,15
cell_141,9,16,22,3,16,605
cell_142,12,16,11,1179,10,20
cell_143,29,8,9,8,1116,11
cell_144,51,954,42,12,39,21
cell_145,8,16,6,28,1862,35
cell_146,34,543,7,22,6,17
cell_147,31,25,1776,13,9,14
cell_148,28,34,929,13,26,17
cell_149,36,25,460,18,48,30
cell_150,12,10,22,7,19,70
cell_151,701,5,821,50,13,33
cell_152,16,19,440,18,14,4
cell_153,1,8,7,15,2,13
cell_154,28,1112,5,31,12,12
cell_155,12,1103,20,7,8,2
cell_156,37,45,16,18,1319,24
cell_157,895,23,55,12,9,1
cell_158,20,18,28,1038,6,8
cell_159,13,12,61,18,39,15
cell_160,61,1974,25,21,12,28
cell_161,9,19,1654,0,13,20
cell_162,62,41,9,10,38,2213
