,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_1,tag_3,1,singlet,844
cell_2,tag_6,1,singlet,716
cell_3,tag_3,1,singlet,1238
cell_4,tag_2,1,singlet,1704
cell_5,tag_2,1,singlet,512
cell_6,tag_3,1,singlet,2144
cell_7,tag_2,1,singlet,730
cell_8,tag_5,1,singlet,2036
cell_9,tag_6,1,singlet,1192
cell_10,tag_5,1,singlet,501
cell_11,tag_3,1,singlet,615
cell_12,tag_2,1,singlet,3366
cell_13,negative,0,negative,144
cell_14,tag_5,1,singlet,1366
cell_15,tag_3,1,singlet,1084
cell_16,tag_2,1,singlet,1638
cell_17,negative,0,negative,129
cell_18,tag_1,1,singlet,1879
cell_19,tag_5,1,singlet,1057
cell_20,tag_1,1,singlet,1085
cell_21,tag_6,1,singlet,600
cell_22,multiplet,2,multiplet,2384
cell_23,tag_6,1,singlet,1227
cell_24,tag_6,1,singlet,1176
cell_25,multiplet,2,multiplet,1503
cell_26,tag_5,1,singlet,395
cell_27,tag_6,1,singlet,1472
cell_28,tag_2,1,singlet,1351
cell_29,tag_1,1,singlet,389
cell_30,tag_1,1,singlet,2059
cell_31,tag_3,1,singlet,1598
cell_32,tag_1,1,singlet,1395
cell_33,multiplet,2,multiplet,1145
cell_34,tag_4,1,singlet,780
cell_35,tag_2,1,singlet,994
cell_36,negative,0,negative,119
cell_37,tag_3,1,singlet,380
cell_38,tag_2,1,singlet,1088
cell_39,tag_2,1,singlet,1415
cell_40,tag_5,1,singlet,1057
cell_41,tag_3,1,singlet,803
cell_42,tag_1,1,singlet,1413
cell_43,tag_5,1,singlet,426
cell_44,tag_4,1,singlet,1557
cell_45,tag_3,1,singlet,1435
cell_46,tag_2,1,singlet,606
cell_47,tag_2,1,singlet,832
cell_48,tag_4,1,singlet,1202
cell_49,tag_3,1,singlet,913
cell_50,tag_5,1,singlet,900
cell_51,tag_4,1,singlet,2098
cell_52,multiplet,2,multiplet,1867
cell_53,tag_1,1,singlet,680
cell_54,tag_3,1,singlet,2239
cell_55,tag_3,1,singlet,646
cell_56,tag_2,1,singlet,868
cell_57,tag_3,1,singlet,672
cell_58,tag_1,1,singlet,1013
cell_59,tag_2,1,singlet,1032
cell_60,multiplet,2,multiplet,1356
cell_61,tag_4,1,singlet,1453
cell_62,tag_6,1,singlet,1862
cell_63,negative,0,negative,135
cell_64,tag_4,1,singlet,1185
cell_65,negative,0,negative,116
cell_66,tag_2,1,singlet,2113
cell_67,negative,0,negative,72
cell_68,tag_1,1,singlet,749
cell_69,tag_6,1,singlet,808
cell_70,tag_6,1,singlet,763
cell_71,tag_4,1,singlet,1787
cell_72,tag_2,1,singlet,1309
cell_73,tag_2,1,singlet,928
cell_74,tag_5,1,singlet,833
cell_75,tag_2,1,singlet,1252
cell_76,tag_3,1,singlet,1936
cell_77,tag_2,1,singlet,827
cell_78,tag_4,1,singlet,857
cell_79,tag_6,1,singlet,1017
cell_80,tag_4,1,singlet,1472
cell_81,tag_6,1,singlet,887
cell_82,tag_4,1,singlet,1429
cell_83,tag_4,1,singlet,1016
cell_84,tag_2,1,singlet,530
cell_85,tag_4,1,singlet,1469
cell_86,tag_3,1,singlet,1035
cell_87,tag_6,1,singlet,1299
cell_88,tag_1,1,singlet,1090
cell_89,tag_2,1,singlet,598
cell_90,tag_4,1,singlet,809
cell_91,tag_6,1,singlet,1174
cell_92,tag_4,1,singlet,768
cell_93,tag_6,1,singlet,431
cell_94,negative,0,negative,115
cell_95,tag_2,1,singlet,445
cell_96,tag_3,1,singlet,1434
cell_97,tag_3,1,singlet,1949
cell_98,tag_2,1,singlet,1250
cell_99,tag_6,1,singlet,1943
cell_100,tag_1,1,singlet,1004
cell_101,multiplet,2,multiplet,2851
cell_102,tag_5,1,singlet,1224
cell_103,tag_6,1,singlet,971
cell_104,tag_6,1,singlet,832
cell_105,tag_1,1,singlet,1479
cell_106,negative,0,negative,127
cell_107,tag_6,1,singlet,1031
cell_108,tag_2,1,singlet,1181
