,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_1,tag_1,1,singlet,834
cell_2,multiplet,2,multiplet,1490
cell_3,tag_6,1,singlet,1569
cell_4,negative,0,negative,144
cell_5,multiplet,2,multiplet,1934
cell_6,tag_5,1,singlet,1169
cell_7,tag_4,1,singlet,2383
cell_8,tag_3,1,singlet,1086
cell_9,tag_2,1,singlet,883
cell_10,tag_5,1,singlet,563
cell_11,multiplet,2,multiplet,2440
cell_12,tag_1,1,singlet,1550
cell_13,tag_2,1,singlet,1564
cell_14,tag_4,1,singlet,483
cell_15,tag_3,1,singlet,1169
cell_16,tag_5,1,singlet,1433
cell_17,tag_3,1,singlet,809
cell_18,tag_2,1,singlet,2131
cell_19,negative,0,negative,163
cell_20,tag_4,1,singlet,1014
cell_21,tag_3,1,singlet,1065
cell_22,tag_1,1,singlet,724
cell_23,tag_6,1,singlet,655
cell_24,tag_1,1,singlet,837
cell_25,tag_2,1,singlet,1013
cell_26,tag_3,1,singlet,800
cell_27,tag_5,1,singlet,852
cell_28,multiplet,2,multiplet,2533
cell_29,tag_3,1,singlet,549
cell_30,multiplet,2,multiplet,3259
cell_31,tag_3,1,singlet,1160
cell_32,tag_4,1,singlet,746
cell_33,tag_5,1,singlet,1413
cell_34,negative,0,negative,140
cell_35,tag_2,1,singlet,951
cell_36,tag_1,1,singlet,1407
cell_37,tag_4,1,singlet,629
cell_38,tag_1,1,singlet,1379
cell_39,tag_1,1,singlet,1090
cell_40,tag_2,1,singlet,969
cell_41,tag_2,1,singlet,1058
cell_42,tag_2,1,singlet,517
cell_43,tag_2,1,singlet,1513
cell_44,tag_2,1,singlet,1915
cell_45,tag_1,1,singlet,1590
cell_46,tag_3,1,singlet,1217
cell_47,tag_2,1,singlet,560
cell_48,tag_2,1,singlet,872
cell_49,tag_6,1,singlet,1750
cell_50,tag_6,1,singlet,617
cell_51,multiplet,2,multiplet,2556
cell_52,tag_6,1,singlet,1263
cell_53,negative,0,negative,91
cell_54,tag_3,1,singlet,645
cell_55,tag_1,1,singlet,644
cell_56,tag_3,1,singlet,830
cell_57,tag_1,1,singlet,830
cell_58,tag_6,1,singlet,923
cell_59,tag_6,1,singlet,1040
cell_60,tag_3,1,singlet,671
cell_61,tag_4,1,singlet,768
cell_62,tag_2,1,singlet,863
cell_63,tag_5,1,singlet,505
cell_64,tag_2,1,singlet,940
cell_65,tag_6,1,singlet,532
cell_66,tag_6,1,singlet,1246
cell_67,tag_6,1,singlet,697
cell_68,multiplet,2,multiplet,2746
cell_69,tag_3,1,singlet,766
cell_70,tag_4,1,singlet,1271
cell_71,tag_1,1,singlet,833
cell_72,tag_6,1,singlet,2189
cell_73,tag_2,1,singlet,1159
cell_74,tag_2,1,singlet,1460
cell_75,tag_4,1,singlet,802
cell_76,tag_2,1,singlet,1115
cell_77,tag_3,1,singlet,675
cell_78,tag_1,1,singlet,1974
cell_79,tag_6,1,singlet,1067
cell_80,tag_1,1,singlet,1221
cell_81,tag_3,1,singlet,1341
cell_82,tag_5,1,singlet,1656
cell_83,tag_4,1,singlet,1171
cell_84,tag_6,1,singlet,540
cell_85,multiplet,2,multiplet,2767
cell_86,tag_2,1,singlet,1276
cell_87,tag_1,1,singlet,789
cell_88,tag_5,1,singlet,1308
cell_89,tag_5,1,singlet,2193
cell_90,tag_6,1,singlet,1691
cell_91,tag_1,1,singlet,1359
cell_92,tag_5,1,singlet,1449
cell_93,tag_5,1,singlet,991
cell_94,tag_3,1,singlet,693
cell_95,tag_3,1,singlet,318
cell_96,tag_4,1,singlet,375
cell_97,tag_6,1,singlet,1144
cell_98,tag_2,1,singlet,919
cell_99,tag_1,1,singlet,807
cell_100,multiplet,2,multiplet,2256
cell_101,negative,0,negative,117
cell_102,tag_2,1,singlet,1157
cell_103,tag_3,1,singlet,979
cell_104,tag_4,1,singlet,1503
