,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_1,698,21,34,8,37,36
cell_2,3,1085,351,31,13,7
cell_3,17,7,21,7,41,1476
cell_4,13,13,15,57,10,36
cell_5,7,29,41,1050,29,778
cell_6,45,31,30,23,1015,25
cell_7,3,62,31,2254,19,14
cell_8,26,31,994,17,8,10
cell_9,37,762,14,32,15,23
cell_10,23,33,41,23,416,27
cell_11,13,432,19,26,12,1938
cell_12,1490,17,6,12,11,14
cell_13,26,1440,7,25,22,44
cell_14,10,10,7,433,15,8
cell_15,37,17,1052,25,18,20
cell_16,12,11,38,32,1323,17
cell_17,10,20,737,14,10,18
cell_18,8,2070,19,12,17,5
cell_19,12,9,9,21,71,41
cell_20,5,12,11,927,21,38
cell_21,44,11,967,17,19,7
cell_22,638,3,20,36,13,14
cell_23,36,8,17,55,32,507
cell_24,724,10,28,36,21,18
cell_25,30,913,14,16,29,11
cell_26,36,7,739,5,3,10
cell_27,6,12,37,12,779,6
cell_28,869,8,1592,18,24,22
cell_29,18,19,458,40,3,11
cell_30,10,979,6,3,3,2258
cell_31,4,33,1060,19,32,12
cell_32,12,32,6,679,0,17
cell_33,13,14,22,23,1290,51
cell_34,8,26,24,22,24,36
cell_35,33,873,18,7,10,10
cell_36,1285,11,21,59,4,27
cell_37,38,22,21,525,14,9
cell_38,1308,38,4,4,3,22
cell_39,900,68,33,37,21,31
cell_40,9,856,28,6,34,36
cell_41,8,919,49,8,25,49
cell_42,12,427,29,23,11,15
cell_43,4,1457,6,24,6,16
cell_44,41,1821,13,19,6,15
cell_45,1513,28,22,12,1,14
cell_46,37,2,1132,8,16,22
cell_47,14,468,6,29,25,18
cell_48,6,788,5,4,51,18
cell_49,11,16,17,26,9,1671
cell_50,37,16,16,33,20,495
cell_51,1285,40,37,21,11,1162
cell_52,2,35,18,31,11,1166
cell_53,12,15,9,28,14,13
cell_54,53,21,551,16,3,1
cell_55,540,29,9,6,51,9
cell_56,28,4,736,34,6,22
cell_57,762,2,13,22,17,14
cell_58,21,6,24,42,29,801
cell_59,8,12,6,29,48,937
cell_60,29,12,546,26,29,29
cell_61,17,3,17,689,6,36
cell_62,21,737,14,11,30,50
cell_63,15,2,19,8,421,40
cell_64,28,781,6,42,48,35
cell_65,3,23,16,7,18,465
cell_66,41,10,22,28,2,1143
cell_67,34,2,39,6,6,610
cell_68,1746,25,96,16,817,46
cell_69,19,19,673,27,21,7
cell_70,10,21,15,1198,7,20
cell_71,749,21,9,28,6,20
