,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_1,tag_4,1,singlet,1151
cell_2,tag_6,1,singlet,1175
cell_3,tag_4,1,singlet,553
cell_4,tag_4,1,singlet,2314
cell_5,tag_6,1,singlet,508
cell_6,tag_6,1,singlet,1605
cell_7,tag_4,1,singlet,1354
cell_8,tag_3,1,singlet,965
cell_9,tag_3,1,singlet,1550
cell_10,tag_6,1,singlet,1486
cell_11,tag_1,1,singlet,2122
cell_12,tag_1,1,singlet,769
cell_13,tag_1,1,singlet,1311
cell_14,tag_6,1,singlet,1081
cell_15,tag_3,1,singlet,945
cell_16,tag_4,1,singlet,1201
cell_17,tag_1,1,singlet,553
cell_18,multiplet,2,multiplet,1702
cell_19,tag_2,1,singlet,1550
cell_20,tag_3,1,singlet,855
cell_21,tag_1,1,singlet,1893
cell_22,tag_6,1,singlet,942
cell_23,tag_6,1,singlet,812
cell_24,tag_5,1,singlet,1311
cell_25,tag_6,1,singlet,984
cell_26,tag_5,1,singlet,2049
cell_27,tag_4,1,singlet,1292
cell_28,tag_5,1,singlet,1078
cell_29,tag_5,1,singlet,598
cell_30,tag_2,1,singlet,978
cell_31,multiplet,2,multiplet,1979
cell_32,tag_1,1,singlet,1570
cell_33,negative,0,negative,182
cell_34,tag_4,1,singlet,588
cell_35,multiplet,2,multiplet,3265
cell_36,tag_6,1,singlet,789
cell_37,tag_3,1,singlet,481
cell_38,tag_5,1,singlet,1096
cell_39,tag_2,1,singlet,990
cell_40,tag_6,1,singlet,1850
cell_41,tag_2,1,singlet,1039
cell_42,negative,0,negative,126
cell_43,tag_4,1,singlet,1377
cell_44,tag_4,1,singlet,968
cell_45,tag_3,1,singlet,838
cell_46,tag_4,1,singlet,826
cell_47,tag_6,1,singlet,804
cell_48,tag_3,1,singlet,936
cell_49,tag_6,1,singlet,321
cell_50,tag_4,1,singlet,426
cell_51,tag_5,1,singlet,1173
cell_52,tag_2,1,singlet,655
cell_53,tag_1,1,singlet,792
cell_54,tag_6,1,singlet,1099
cell_55,tag_5,1,singlet,458
cell_56,tag_4,1,singlet,745
cell_57,tag_2,1,singlet,832
cell_58,tag_4,1,singlet,933
cell_59,tag_4,1,singlet,446
cell_60,tag_6,1,singlet,988
cell_61,tag_3,1,singlet,1278
cell_62,multiplet,2,multiplet,1609
cell_63,tag_5,1,singlet,1138
cell_64,tag_6,1,singlet,634
cell_65,tag_1,1,singlet,728
cell_66,tag_3,1,singlet,1336
cell_67,negative,0,negative,163
cell_68,tag_3,1,singlet,697
cell_69,tag_5,1,singlet,1184
cell_70,multiplet,2,multiplet,2894
cell_71,tag_4,1,singlet,670
cell_72,tag_6,1,singlet,1152
cell_73,multiplet,2,multiplet,2100
cell_74,tag_2,1,singlet,1696
cell_75,tag_4,1,singlet,1163
cell_76,tag_3,1,singlet,659
cell_77,tag_2,1,singlet,767
cell_78,tag_2,1,singlet,1329
cell_79,tag_2,1,singlet,1272
cell_80,tag_4,1,singlet,629
cell_81,tag_5,1,singlet,721
cell_82,multiplet,2,multiplet,2414
cell_83,tag_2,1,singlet,1129
cell_84,negative,0,negative,158
cell_85,tag_2,1,singlet,941
cell_86,negative,0,negative,95
cell_87,tag_2,1,singlet,1498
cell_88,tag_6,1,singlet,1070
cell_89,tag_1,1,singlet,970
cell_90,tag_5,1,singlet,618
cell_91,tag_5,1,singlet,1274
cell_92,tag_1,1,singlet,958
cell_93,tag_6,1,singlet,1379
cell_94,multiplet,2,multiplet,1924
cell_95,tag_6,1,singlet,1232
cell_96,tag_2,1,singlet,644
cell_97,multiplet,2,multiplet,1921
cell_98,multiplet,2,multiplet,2429
cell_99,tag_2,1,singlet,1062
cell_100,tag_4,1,singlet,1530
cell_101,tag_3,1,singlet,1471
cell_102,tag_1,1,singlet,881
cell_103,tag_1,1,singlet,899
cell_104,tag_2,1,singlet,981
cell_105,tag_2,1,singlet,895
cell_106,tag_5,1,singlet,548
cell_107,tag_4,1,singlet,989
cell_108,tag_5,1,singlet,1060
cell_109,tag_6,1,singlet,1747
cell_110,tag_2,1,singlet,2255
cell_111,tag_6,1,singlet,1025
cell_112,multiplet,2,multiplet,1320
cell_113,negative,0,negative,162
cell_114,tag_3,1,singlet,952
cell_115,tag_6,1,singlet,2515
cell_116,negative,0,negative,141
cell_117,tag_4,1,singlet,832
cell_118,tag_4,1,singlet,1262
cell_119,tag_2,1,singlet,1332
cell_120,tag_6,1,singlet,915
cell_121,tag_6,1,singlet,1523
cell_122,tag_1,1,singlet,1085
cell_123,tag_1,1,singlet,869
cell_124,negative,0,negative,63
cell_125,multiplet,2,multiplet,2238
cell_126,tag_5,1,singlet,1042
cell_127,tag_3,1,singlet,1120
cell_128,tag_4,1,singlet,728
cell_129,tag_4,1,singlet,1217
cell_130,tag_6,1,singlet,1397
cell_131,tag_3,1,singlet,739
cell_132,tag_2,1,singlet,664
cell_133,tag_2,1,singlet,677
cell_134,tag_6,1,singlet,1467
cell_135,tag_6,1,singlet,1377
cell_136,tag_5,1,singlet,571
cell_137,tag_6,1,singlet,1904
cell_138,tag_6,1,singlet,781
cell_139,tag_3,1,singlet,149
cell_140,tag_2,1,singlet,1831
cell_141,tag_4,1,singlet,1366
cell_142,tag_5,1,singlet,1495
cell_143,tag_5,1,singlet,1051
cell_144,tag_5,1,singlet,774
