,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_1,6,22,37,1054,30,2
cell_2,10,16,9,12,16,1112
cell_3,6,18,6,496,2,25
cell_4,59,53,21,2146,11,24
cell_5,24,45,8,16,1,414
cell_6,7,29,6,40,29,1494
cell_7,13,29,14,1223,24,51
cell_8,13,90,778,33,8,43
cell_9,10,21,1470,7,20,22
cell_10,6,48,5,16,43,1368
cell_11,1988,16,28,40,46,4
cell_12,669,11,13,7,49,20
cell_13,1218,28,23,10,18,14
cell_14,30,61,14,21,30,925
cell_15,13,7,895,1,12,17
cell_16,21,35,4,1102,21,18
cell_17,468,33,1,16,33,2
cell_18,17,7,1059,15,8,596
cell_19,12,1470,10,3,36,19
cell_20,27,7,739,8,50,24
cell_21,1749,18,66,21,9,30
cell_22,22,29,26,13,16,836
cell_23,15,10,16,12,11,748
cell_24,16,11,20,21,1241,2
cell_25,37,15,6,24,33,869
cell_26,20,2,8,32,1953,34
cell_27,32,17,15,1208,6,14
cell_28,13,14,19,48,972,12
cell_29,36,12,25,2,503,20
cell_30,5,931,15,22,2,3
cell_31,16,11,15,973,952,12
cell_32,1510,30,7,6,6,11
cell_33,32,39,4,49,26,32
cell_34,13,14,24,498,9,30
cell_35,1628,26,12,15,17,1567
cell_36,27,6,27,55,4,670
cell_37,16,3,384,22,24,32
cell_38,49,16,18,14,983,16
cell_39,7,898,27,39,11,8
cell_40,18,30,17,14,23,1748
cell_41,9,963,27,6,1,33
cell_42,22,53,5,12,7,27
cell_43,15,30,2,1239,67,24
cell_44,17,34,16,879,12,10
cell_45,10,40,737,24,17,10
cell_46,16,6,11,768,11,14
cell_47,22,8,7,13,19,735
cell_48,14,28,873,17,3,1
cell_49,25,14,35,29,19,199
cell_50,9,30,4,358,25,0
cell_51,9,15,23,6,1099,21
cell_52,6,566,13,34,15,21
cell_53,687,41,6,3,42,13
cell_54,17,34,8,4,6,1030
cell_55,54,10,18,6,364,6
cell_56,8,21,25,664,17,10
cell_57,11,749,22,6,27,17
cell_58,39,16,33,831,11,3
cell_59,27,10,42,310,14,43
cell_60,18,42,31,75,19,803
cell_61,8,20,1142,21,5,82
cell_62,7,33,7,637,898,27
cell_63,1,21,5,2,1083,26
cell_64,16,25,5,11,61,516
cell_65,628,14,40,20,20,6
