node,in_degree,out_degree,total_degree,sign,prize,role,pathways
TP53,3,3,6,1,1.5,measurement,p53 signaling;Cell cycle
AKT,2,2,4,0,0.0,,PI3K-AKT signaling
MDM2,2,1,3,0,0.0,,p53 signaling
ERK,1,2,3,0,0.0,,MAPK signaling
MYC,2,1,3,1,1.2,measurement,Cell cycle;MAPK signaling
RAS,1,1,2,0,0.0,,MAPK signaling
RAF,1,1,2,0,0.0,,MAPK signaling
MEK,1,1,2,0,0.0,,MAPK signaling
BAD,2,0,2,-1,1.0,measurement,Apoptosis
CDK4,1,1,2,0,0.0,,Cell cycle
RB1,1,1,2,0,0.0,,Cell cycle
E2F1,1,1,2,0,0.0,,Cell cycle
BAX,1,0,1,0,0.0,,Apoptosis;p53 signaling
CDKN1A,1,0,1,0,0.0,,Cell cycle
ATM,0,1,1,0,0.0,,DNA damage response
ATR,0,1,1,0,0.0,,DNA damage response
EGFR,0,1,1,1,2.0,perturbation,MAPK signaling;ERBB signaling
PTEN,0,1,1,-1,1.8,perturbation,PI3K-AKT signaling
PI3K,0,1,1,0,0.0,,PI3K-AKT signaling
