file	feature	clean_name	missing_fraction
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	E2G_Distance	E2G_Distance	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Acetylated_Regions	CrhmmBool-Acetylated_Regions	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Promoter_Bivalent	CrhmmBool-Promoter_Bivalent	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Other	CrhmmBool-Other	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Enh_Mesenchyme	CrhmmBool-Enh_Mesenchyme	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Enh_Strong	CrhmmBool-Enh_Strong	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Enh_ESC	CrhmmBool-Enh_ESC	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Enh_Weak	CrhmmBool-Enh_Weak	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Heterochromatin_Regions	CrhmmBool-Heterochromatin_Regions	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Promoter_Active	CrhmmBool-Promoter_Active	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Quiescent_Regions	CrhmmBool-Quiescent_Regions	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-RepressivePolycomb_Regions	CrhmmBool-RepressivePolycomb_Regions	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-TSS	CrhmmBool-TSS	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Transcribed_Region	CrhmmBool-Transcribed_Region	0.0
K562_E2G_table.with.ChromHMM.state.overlap.features_CrhmmBool.txt.gz	CrhmmBool-Enh_Transcribed	CrhmmBool-Enh_Transcribed	0.0
K562_ERR9847049_Multiome_K562_ArchR.tsv.gz	E2G_Distance	E2G_Distance	0.0
K562_ERR9847049_Multiome_K562_ArchR.tsv.gz	ArchR_Score	ArchR_Score	0.8576
K562_ERR9847049_Multiome_K562_ArchR.tsv.gz	ArchR_FDR	ArchR_FDR	0.8576
K562_ERR9847049_Multiome_K562_Cicero.tsv.gz	E2G_Distance	E2G_Distance	0.0
K562_ERR9847049_Multiome_K562_Cicero.tsv.gz	Cicero_Score	Cicero_Score	0.8424
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	E2G_Distance	E2G_Distance	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	EP300 signal at E	EP300_signal_at_E	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	H3K27me3 signal at E	H3K27me3_signal_at_E	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	H3K9ac signal at E	H3K9ac_signal_at_E	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	H3K4me1 signal at E	H3K4me1_signal_at_E	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	H3K27ac signal at E	H3K27ac_signal_at_E	0.0
K562_ERR9847049_Multiome_K562_EPCOT.tsv.gz	H3K36me3 signal at E	H3K36me3_signal_at_E	0.0
