pair	regulated	score
chr1:3774714-3775214|CEP104	True	0.029591
chr1:3774714-3775214|LRRC47	True	0.094501
chr1:3803570-3805848|LRRC47	False	0.062442
chr1:3774714-3775214|SMIM1	True	0.286849
chr1:3803570-3805848|SMIM1	False	0.010929
chr1:4126791-4127291|SMIM1	False	0.00023
chr1:5304578-5305078|RPL22	False	6.7e-05
chr1:8197448-8198244|PARK7	False	0.004391
chr1:8899850-8900350|PARK7	False	0.000385
chr1:8858063-8858563|ENO1	True	0.012113
chr1:9145155-9145655|ENO1	False	0.000793
chr1:10387486-10388537|DFFA	False	0.003794
chr1:11881944-11882444|MAD2L2	False	0.000472
chr1:11882562-11883554|MAD2L2	False	0.004497
chr1:12014145-12015413|MAD2L2	False	0.001136
chr1:11882562-11883554|AGTRAP	False	0.006476
chr1:11882562-11883554|TARDBP	False	0.001507
chr1:12014145-12015413|SRM	False	0.000559
chr1:17441310-17441810|SDHB	True	0.0011
chr1:18534347-18534847|AKR7A2	False	0.000619
chr1:20197442-20197942|AKR7A2	False	0.000332
chr1:18534347-18534847|CAPZB	False	0.000496
chr1:19869923-19870423|CAPZB	False	0.001596
chr1:19487638-19488138|MRTO4	False	0.0
chr1:20197442-20197942|MRTO4	False	0.000526
chr1:20216567-20217067|MRTO4	False	0.000146
chr1:20216567-20217067|HP1BP3	False	0.00017
chr1:20216567-20217067|MINOS1	False	0.000209
chr1:21673110-21673610|CDC42	False	0.0
chr1:21791423-21792482|CDC42	False	0.004347
chr1:21963904-21964404|CDC42	False	0.005349
chr1:21963904-21964404|USP48	False	0.002132
chr1:23539621-23540248|GALE	False	0.003702
chr1:23920093-23921311|GALE	False	0.002818
chr1:23539621-23540248|RPL11	False	0.010205
chr1:23554642-23555320|RPL11	False	0.021072
chr1:23562302-23562802|RPL11	False	0.012536
chr1:23716065-23716565|RPL11	False	0.012859
chr1:23920093-23921311|RPL11	False	0.002308
chr1:23716065-23716565|HNRNPR	False	0.000509
chr1:23920093-23921311|HNRNPR	False	0.000579
chr1:23920093-23921311|ELOA	False	0.002962
chr1:23920093-23921311|PITHD1	False	0.00277
chr1:23920093-23921311|SRRM1	False	0.000545
chr1:24742119-24742619|TMEM50A	False	0.0
chr1:25933351-25933954|TMEM50A	False	0.003145
chr1:26138425-26139455|TMEM50A	False	0.000439
chr1:25933351-25933954|ARID1A	False	0.000951
